"key","DoesTargetFolderPathExistBeforeStatus","DoesStateStoreRecordExistBeforeStatus","Cognite_Ingest","DoesTargetFolderPathExistAfterStatus","DeletedInstanceTimestamp","DoesInstanceExistBeforeStatus","runstart","DeletedStateStoreRecordTimestamp","DeletedTargetFolderPathTimestamp","target_filepath_defined","RunId","DoesDwgDropFolderPathExistBeforeStatus","File_Type_Short_Name","CurrentDeleteFlag","DoesInstanceExistAfterStatus","Cognite_Id","runend","DoesStateStoreRecordExistAfterStatus","DeletedDwgDropFolderPathTimestamp","DoesDwgDropFolderPathExistAfterStatus","external_id","runFinished","sourceId","dwg_drop_path_defined","primary_key"
"c1ad2aebfcf2f5b35766109b62cacc01|r120.1hdo.81863","false","false","Y","false","","false","2026-09-22 18:26:38","","","D:\Data\edms\target\mtz_test_hasan\r120.1hdo.81863.dwg.pdf","c1ad2aebfcf2f5b35766109b62cacc01","false","dwg","true","false","","2026-09-22 18:26:43","false","","false","edmstest_c95bd7e0a88c4ea7cc20e6f7df5c7f146d344886","true","r120.1hdo.81863.dwg.pdf","D:\Data\edms\dwg-drop\mtz_test_hasan\r120.1hdo.81863.dwg","r120.1hdo.81863"
"22948ac31b3b03d8db57ebab213c531b|r120.1h2p.56652","true","true","Y","false","2026-09-22 18:17:02","true","2026-09-22 18:16:57","2026-09-22 18:17:02","2026-09-22 18:17:02","D:\Data\edms\target\mtz_test_hasan\r120.1h2p.56652.pdf","22948ac31b3b03d8db57ebab213c531b","","pdf","true","false","","2026-09-22 18:17:02","false","","","edmstest_20b55c0daf0e3a1d216773a004963aeca62d6fc0","true","r120.1h2p.56652.pdf","","r120.1h2p.56652"
"22948ac31b3b03d8db57ebab213c531b|r120.1h2p.56727","true","true","Y","false","2026-09-22 18:17:02","true","2026-09-22 18:16:57","2026-09-22 18:17:02","2026-09-22 18:17:02","D:\Data\edms\target\mtz_test_hasan\r120.1h2p.56727.pdf","22948ac31b3b03d8db57ebab213c531b","","pdf","true","false","","2026-09-22 18:17:02","false","","","edmstest_2fbd46549341cab6fd4c447368002753d827842a","true","r120.1h2p.56727.pdf","","r120.1h2p.56727"
"c1ad2aebfcf2f5b35766109b62cacc01|r120.1h2p.55536","false","false","Y","false","","false","2026-09-22 18:26:38","","","D:\Data\edms\target\mtz_test_hasan\r120.1h2p.55536.pdf","c1ad2aebfcf2f5b35766109b62cacc01","","pdf","true","false","","2026-09-22 18:26:43","false","","","edmstest_d0b7dd58e514b815589e47b06d236ca2c02bb83e","true","r120.1h2p.55536.pdf","","r120.1h2p.55536"
"c1ad2aebfcf2f5b35766109b62cacc01|r120.1hdo.365567","false","false","Y","false","","false","2026-09-22 18:26:38","","","D:\Data\edms\target\mtz_test_hasan\r120.1hdo.365567.pdf","c1ad2aebfcf2f5b35766109b62cacc01","","pdf","true","false","","2026-09-22 18:26:43","false","","","edmstest_b7fd147d3c3a59f61b71abc468d1be9c0ad542e7","true","r120.1hdo.365567.pdf","","r120.1hdo.365567"
"c1ad2aebfcf2f5b35766109b62cacc01|r120.1ptu.371828","false","false","Y","false","","false","2026-09-22 18:26:38","","","D:\Data\edms\target\mtz_test_hasan\r120.1ptu.371828.dwg.pdf","c1ad2aebfcf2f5b35766109b62cacc01","false","dwg","true","false","","2026-09-22 18:26:43","false","","false","edmstest_a871a4a92327c5ca04d6a514d7ec3ef88276eecd","true","r120.1ptu.371828.dwg.pdf","D:\Data\edms\dwg-drop\mtz_test_hasan\r120.1ptu.371828.dwg","r120.1ptu.371828"
"22948ac31b3b03d8db57ebab213c531b|r120.1hdo.291142","true","true","Y","false","2026-09-22 18:17:02","true","2026-09-22 18:16:57","2026-09-22 18:17:02","2026-09-22 18:17:02","D:\Data\edms\target\mtz_test_hasan\r120.1hdo.291142.pdf","22948ac31b3b03d8db57ebab213c531b","","pdf","true","false","","2026-09-22 18:17:02","false","","","edmstest_6042370465b3ae67bf05261a6b10990b5c67ebf7","true","r120.1hdo.291142.pdf","","r120.1hdo.291142"
"22948ac31b3b03d8db57ebab213c531b|r120.1hdo.51932","true","true","Y","false","2026-09-22 18:17:02","true","2026-09-22 18:16:57","2026-09-22 18:17:02","2026-09-22 18:17:02","D:\Data\edms\target\mtz_test_hasan\r120.1hdo.51932.pdf","22948ac31b3b03d8db57ebab213c531b","","pdf","true","false","","2026-09-22 18:17:02","false","","","edmstest_d0626b202fec593e47e36234c7fb6c37a9256818","true","r120.1hdo.51932.pdf","","r120.1hdo.51932"
"c1ad2aebfcf2f5b35766109b62cacc01|r120.1h2p.389559","false","false","Y","false","","false","2026-09-22 18:26:38","","","D:\Data\edms\target\mtz_test_hasan\r120.1h2p.389559.pdf","c1ad2aebfcf2f5b35766109b62cacc01","","pdf","true","false","","2026-09-22 18:26:43","false","","","edmstest_8aa1ff2db39fdfdcddda8c9644056b3ea9127154","true","r120.1h2p.389559.pdf","","r120.1h2p.389559"
"c1ad2aebfcf2f5b35766109b62cacc01|r120.1h2p.56727","false","false","Y","false","","false","2026-09-22 18:26:38","","","D:\Data\edms\target\mtz_test_hasan\r120.1h2p.56727.pdf","c1ad2aebfcf2f5b35766109b62cacc01","","pdf","true","false","","2026-09-22 18:26:43","false","","","edmstest_2fbd46549341cab6fd4c447368002753d827842a","true","r120.1h2p.56727.pdf","","r120.1h2p.56727"
"22948ac31b3b03d8db57ebab213c531b|r120.1h2p.363548","true","true","Y","false","2026-09-22 18:17:02","true","2026-09-22 18:16:57","2026-09-22 18:17:02","2026-09-22 18:17:02","D:\Data\edms\target\mtz_test_hasan\r120.1h2p.363548.pdf","22948ac31b3b03d8db57ebab213c531b","","pdf","true","false","","2026-09-22 18:17:02","false","","","edmstest_50743b039131b71bb11c86adaaa5b96b3cdd5818","true","r120.1h2p.363548.pdf","","r120.1h2p.363548"
"c1ad2aebfcf2f5b35766109b62cacc01|r120.1h2p.367628","false","false","Y","false","","false","2026-09-22 18:26:38","","","D:\Data\edms\target\mtz_test_hasan\r120.1h2p.367628.pdf","c1ad2aebfcf2f5b35766109b62cacc01","","pdf","true","false","","2026-09-22 18:26:43","false","","","edmstest_9ae7febd7f12749977f7f0a53473a3f837143216","true","r120.1h2p.367628.pdf","","r120.1h2p.367628"
"c1ad2aebfcf2f5b35766109b62cacc01|r120.1hdo.375945","false","false","Y","false","","false","2026-09-22 18:26:38","","","D:\Data\edms\target\mtz_test_hasan\r120.1hdo.375945.dwg.pdf","c1ad2aebfcf2f5b35766109b62cacc01","false","dwg","true","false","","2026-09-22 18:26:43","false","","false","edmstest_59157e4e73b794caaa4a025d48f9e6d200844328","true","r120.1hdo.375945.dwg.pdf","D:\Data\edms\dwg-drop\mtz_test_hasan\r120.1hdo.375945.dwg","r120.1hdo.375945"
"22948ac31b3b03d8db57ebab213c531b|r120.1h2p.57690","true","true","Y","false","2026-09-22 18:17:02","true","2026-09-22 18:16:57","2026-09-22 18:17:02","2026-09-22 18:17:02","D:\Data\edms\target\mtz_test_hasan\r120.1h2p.57690.pdf","22948ac31b3b03d8db57ebab213c531b","","pdf","true","false","","2026-09-22 18:17:02","false","","","edmstest_9b2544f739650f102a63adbcc443c253794ecf04","true","r120.1h2p.57690.pdf","","r120.1h2p.57690"
"22948ac31b3b03d8db57ebab213c531b|r120.1hdo.375945","true","true","Y","false","2026-09-22 18:17:02","true","2026-09-22 18:16:57","2026-09-22 18:17:02","2026-09-22 18:17:02","D:\Data\edms\target\mtz_test_hasan\r120.1hdo.375945.dwg.pdf","22948ac31b3b03d8db57ebab213c531b","true","dwg","true","false","","2026-09-22 18:17:02","false","2026-09-22 18:17:02","false","edmstest_59157e4e73b794caaa4a025d48f9e6d200844328","true","r120.1hdo.375945.dwg.pdf","D:\Data\edms\dwg-drop\mtz_test_hasan\r120.1hdo.375945.dwg","r120.1hdo.375945"
"22948ac31b3b03d8db57ebab213c531b|r120.1hdo.50789","true","true","Y","false","2026-09-22 18:17:02","true","2026-09-22 18:16:57","2026-09-22 18:17:02","2026-09-22 18:17:02","D:\Data\edms\target\mtz_test_hasan\r120.1hdo.50789.pdf","22948ac31b3b03d8db57ebab213c531b","","pdf","true","false","","2026-09-22 18:17:02","false","","","edmstest_02be1bda99691691cd865818b76b122435d75242","true","r120.1hdo.50789.pdf","","r120.1hdo.50789"
"22948ac31b3b03d8db57ebab213c531b|r120.1hdo.81863","true","true","Y","false","2026-09-22 18:17:02","true","2026-09-22 18:16:57","2026-09-22 18:17:02","2026-09-22 18:17:02","D:\Data\edms\target\mtz_test_hasan\r120.1hdo.81863.dwg.pdf","22948ac31b3b03d8db57ebab213c531b","true","dwg","true","false","","2026-09-22 18:17:02","false","2026-09-22 18:17:02","false","edmstest_c95bd7e0a88c4ea7cc20e6f7df5c7f146d344886","true","r120.1hdo.81863.dwg.pdf","D:\Data\edms\dwg-drop\mtz_test_hasan\r120.1hdo.81863.dwg","r120.1hdo.81863"
"c1ad2aebfcf2f5b35766109b62cacc01|r120.1hdo.356064","false","false","Y","false","","false","2026-09-22 18:26:38","","","D:\Data\edms\target\mtz_test_hasan\r120.1hdo.356064.dwg.pdf","c1ad2aebfcf2f5b35766109b62cacc01","false","dwg","true","false","","2026-09-22 18:26:43","false","","false","edmstest_321b478dce1392b7c4f74f80d19c47bfb42a0a72","true","r120.1hdo.356064.dwg.pdf","D:\Data\edms\dwg-drop\mtz_test_hasan\r120.1hdo.356064.dwg","r120.1hdo.356064"
"c1ad2aebfcf2f5b35766109b62cacc01|r120.1hdo.51932","false","false","Y","false","","false","2026-09-22 18:26:38","","","D:\Data\edms\target\mtz_test_hasan\r120.1hdo.51932.pdf","c1ad2aebfcf2f5b35766109b62cacc01","","pdf","true","false","","2026-09-22 18:26:43","false","","","edmstest_d0626b202fec593e47e36234c7fb6c37a9256818","true","r120.1hdo.51932.pdf","","r120.1hdo.51932"
"22948ac31b3b03d8db57ebab213c531b|r120.1hdo.365567","true","true","Y","false","2026-09-22 18:17:02","true","2026-09-22 18:16:57","2026-09-22 18:17:02","2026-09-22 18:17:02","D:\Data\edms\target\mtz_test_hasan\r120.1hdo.365567.pdf","22948ac31b3b03d8db57ebab213c531b","","pdf","true","false","","2026-09-22 18:17:02","false","","","edmstest_b7fd147d3c3a59f61b71abc468d1be9c0ad542e7","true","r120.1hdo.365567.pdf","","r120.1hdo.365567"
"c1ad2aebfcf2f5b35766109b62cacc01|r120.1h2p.332680","false","false","Y","false","","false","2026-09-22 18:26:38","","","D:\Data\edms\target\mtz_test_hasan\r120.1h2p.332680.pdf","c1ad2aebfcf2f5b35766109b62cacc01","","pdf","true","false","","2026-09-22 18:26:43","false","","","edmstest_541c346eba326a824414e4d2b75bc73c2954902f","true","r120.1h2p.332680.pdf","","r120.1h2p.332680"
"c1ad2aebfcf2f5b35766109b62cacc01|r120.1h2p.363548","false","false","Y","false","","false","2026-09-22 18:26:38","","","D:\Data\edms\target\mtz_test_hasan\r120.1h2p.363548.pdf","c1ad2aebfcf2f5b35766109b62cacc01","","pdf","true","false","","2026-09-22 18:26:43","false","","","edmstest_50743b039131b71bb11c86adaaa5b96b3cdd5818","true","r120.1h2p.363548.pdf","","r120.1h2p.363548"
"c1ad2aebfcf2f5b35766109b62cacc01|r120.1h2p.57690","false","false","Y","false","","false","2026-09-22 18:26:38","","","D:\Data\edms\target\mtz_test_hasan\r120.1h2p.57690.pdf","c1ad2aebfcf2f5b35766109b62cacc01","","pdf","true","false","","2026-09-22 18:26:43","false","","","edmstest_9b2544f739650f102a63adbcc443c253794ecf04","true","r120.1h2p.57690.pdf","","r120.1h2p.57690"
