"key","DWG_Sub_Type_Code","Vendor_Document_Number_Code","File_Type_Short_Code","PSI_Indicator","ZDWG MZ ADN Sheet:ADN","Modified_Date","Geolocation","Plant_Name_Short_Code","DWG_Type_Short_Code","Cognite_Delete","Catalog_Profile_Code","Comments_Text","File_Sub_Type_Short_Code","Name","Cognite_Ingest","Legacy_Comments_Text","Item_ID","Loop","Object_Type_Code","File_Type_Short_Name","File_Sub_Type_Code","Title","Unit_Code","Tags_Code","UrlPath_Text","Type_Short_Code","Manufacturer_Name","Catalog_Profile_Description","SAP_Equipment_Number","Document_Sub_Type_Code","Plant_Section_Short_Code","DWG_Type_Code","EQP_LS_Code","Plant_Section_Code","Sheet_Number","CFIHOS_Code","Object_Type_Description","File_Type_Code","Line_Number","Circuit_Code","Revision_Number","Primary_Tag_Code","ZDWG MZ ADN:ADN","Unit_Name","Legacy_Tags_Code","Document_Type_Code","Cognite_Annotate","Document_Type","Plant_Code","Legacy_Document_Number_Code","DWG_Sub_Type_Short_Code","Legacy_Number_Code","Document_Sub_Type","MOC","EQP_Status_Name","Category_Name","primary_key"
"r120.1hdo.370466","Loop Diagram","","","N","","2024-02-22 13:22:26","","MZ","SNC","0","","","","067-BX-2034-05","Y","","370466","","","dwg","","067-T-2034 1HD- 067-HTCP-133 FLT UNIT 067 1HDO","1HDO","","https://mpcshsroadatalakedg2grs.blob.core.windows.net/enterprise-analytics/raw/Refining/Martinez/067/067-BX-2034-05.DWG","DWG","067-BX-2034-05","","","LPD","RF","SNC-Inst","","RENEWABLE FUEL","05","CFIHOS-70000205","","","","","000","","","1 HDO UNIT","067-HTCP-133","SNC","Y","SNC-Inst","R120","370466","LPD","067-BX-2034-05","Loop Diagram","","","","r120.1hdo.370466"
"r120.1h2p.332680","","","DAT","N","","2019-04-17 10:42:21","","MZ","","1","","","BOK","069-C-0520-001","Y","","332680","","","pdf","Data Book","MANUFACTURER&#39;S DATA BOOK - METHANATOR, V-2","1H2P","","https://mpcshsroadatalakedg2grs.blob.core.windows.net/enterprise-analytics/raw/Refining/Martinez/069/069-C-0520-001.PDF","EQP","069-C-0520-001","","","BOK","RF","","","RENEWABLE FUEL","","MPC-79000275","","Data","","","000","","","1 HYDROGEN PLT","V-2","DAT","N","Data","R120","332680","","069-C-0520-001","Data Book","","","","r120.1h2p.332680"
"r120.1h2p.363548","","","DAT","N","","2022-11-03 12:48:37","","MZ","","1","","","BOK","069-M-000568","Y","","363548","","","pdf","Data Book","FINAL DATA BOOK - ZINC OXIDE DRUM 069-V-261","1H2P","","https://mpcshsroadatalakedg2grs.blob.core.windows.net/enterprise-analytics/raw/Refining/Martinez/069/069-M-000568.PDF","EQP","069-M-000568-001","","","BOK","RF","","","RENEWABLE FUEL","","MPC-79000275","","Data","","","000","","","1 HYDROGEN PLT","069-V-261, 069-V-262","DAT","N","Data","R120","363548","","069-M-000568","Data Book","","","","r120.1h2p.363548"
"r120.1h2p.367628","","","DAT","Y","","2023-06-13 12:44:24","","MZ","","1","","","SHT","069-TE-1477","Y","","367628","","","pdf","Equipment Datasheet","TEMPERATURE ELEMENT - 1H2-FD F/V-261 TO V-262","1H2P","","https://mpcshsroadatalakedg2grs.blob.core.windows.net/enterprise-analytics/raw/Refining/Martinez/069/069-TE-1477.PDF","EQP","069-TE-1477-001","","","SHT","RF","","","RENEWABLE FUEL","","CFIHOS-70000117","","Data","","","000","","","1 HYDROGEN PLT","V-261, V-262, TE-1477","DAT","Y","Data","R120","367628","","069-TE-1477","Equipment Datasheet","","","","r120.1h2p.367628"
"r120.1h2p.389559","","","CAL","N","","2026-06-15 12:38:34","","MZ","","1","","","PSA","069-AF-1181-001","Y","","389559","","","pdf","Pipe Stress Analysis","PIPING WALL CALCULATIONS 069-E-214A/B CONVECTION COIL REPLACEMENT","1H2P","","https://mpcshsroadatalakedg2grs.blob.core.windows.net/enterprise-analytics/raw/Refining/Martinez/069/069-AF-1181-001.PDF","EQP","069-AF-1181-001","","","PSA","RF","","","RENEWABLE FUEL","","CFIHOS-70000378","","Calculation","","","A","","","1 HYDROGEN PLT","069-E-214A; 069-E-214B; 069-F-1A; 069-F-1B","CAL","N","Calculation","R120","389559","","069-AF-1181-001","Pipe Stress Analysis","","","","r120.1h2p.389559"
"r120.1h2p.55536","","","MAN","N","","2025-10-30 10:33:19","","MZ","","1","","","OEM","069-AJ-136-P-001","Y","","55536","","","pdf","OEM Manual","ELECTRIK TEL-O-SET CONCENTRIC SCALE INDICATOR INSTRUCTION BOOK","1H2P","","https://mpcshsroadatalakedg2grs.blob.core.windows.net/enterprise-analytics/raw/Refining/Martinez/069/069-AJ-136-P-001.PDF","EQP","069-AJ-0136-P-001","","","OEM","RF","","","RENEWABLE FUEL","","MPC-79000138","","Manual","","","000","","","1 HYDROGEN PLT","069-FI-545; 069-FR-543; 069-FRC-573; 069-FRC-597; 069-FRC-629; 069-LRC-544; 069-TRC-548; 069-TRC-566; 069-TRC-581","MAN","N","Manual","R120","55536","","069-AJ-136-P-001","OEM Manual","","","","r120.1h2p.55536"
"r120.1h2p.55936","Structural Steel Layout and Detail","","","N","","2012-05-03 07:37:26","","MZ","STL","1","","","","069-AM-22","Y","","55936","","","pdf","","LOCATION OF PIPE SUPPORT ATTACHMENTS FOR 69-C-15","1H2P","","https://mpcshsroadatalakedg2grs.blob.core.windows.net/enterprise-analytics/raw/Refining/Martinez/069/069-AM-22.PDF","DWG","069-AM-0022","","","DTL","RF","Steel","","RENEWABLE FUEL","22","MPC-79000266","","","","","NA","","","1 HYDROGEN PLT","V-15","STL","N","Steel","R120","55936","DTL","069-AM-22","Structural Steel Layout and Detail","","","","r120.1h2p.55936"
"r120.1h2p.56652","SNC-Inst Misc","","","N","","2012-05-03 10:43:19","","MZ","SNC","1","","","","069-BJ-190","Y","","56652","","","pdf","","SUPP&#39;TS. A.S.-1 STEEL DET&#39;S. FOR SULFUR ANALYZERS","1H2P","","https://mpcshsroadatalakedg2grs.blob.core.windows.net/enterprise-analytics/raw/Refining/Martinez/069/069-BJ-190.PDF","DWG","069-BJ-0190","","","MSC","RF","SNC-Inst","","RENEWABLE FUEL","190","MPC-79000289","","","","","NA","","","1 HYDROGEN PLT","","SNC","N","SNC-Inst","R120","56652","MSC","069-BJ-190","SNC-Inst Misc","","","","r120.1h2p.56652"
"r120.1h2p.56727","Isometric Diagram","","","N","","2012-05-07 07:08:51","","MZ","PIP","1","","","","069-BL-427","Y","","56727","","","pdf","","PIPING ISOMETRIC 5006","1H2P","","https://mpcshsroadatalakedg2grs.blob.core.windows.net/enterprise-analytics/raw/Refining/Martinez/069/069-BL-427.PDF","DWG","069-BL-0427","","","ISO","RF","Piping","","RENEWABLE FUEL","427","CFIHOS-70000193","","","","","NA","","","1 HYDROGEN PLT","","PIP","Y","Piping","R120","56727","ISO","069-BL-427","Isometric Diagram","","","","r120.1h2p.56727"
"r120.1h2p.57389","Fabrication Drawing","","","N","","2012-06-11 16:07:55","","MZ","MCH","1","","","","069-CE-339-T-001","Y","","57389","","","pdf","","TUBE BUNDLE, E-1142","1H2P","","https://mpcshsroadatalakedg2grs.blob.core.windows.net/enterprise-analytics/raw/Refining/Martinez/069/069-CE-339T.PDF","DWG","069-CE-0339T","","","FAB","RF","Mech-Fixed","","RENEWABLE FUEL","001","CFIHOS-70000056","","","","","NA","","","1 HYDROGEN PLT","E-1142","MCH","N","Mech-Fixed","R120","57389","FAB","069-CE-339-T-001","Fabrication Drawing","","","","r120.1h2p.57389"
